Timestamp,FC,Physical activity,Sleep time,Eating outside,money on food per day,BLD,afternoon nap
2023/04/17 8:49:59 PM GMT+5:30,Non-vegetarian,456,56,36,10000,Breakfast,No
2023/04/17 8:50:01 PM GMT+5:30,Non-vegetarian,0,5,12,30,Breakfast,Yes
2023/04/17 8:50:56 PM GMT+5:30,Non-vegetarian,10,7,1,100,Lunch,No
2023/04/17 8:51:41 PM GMT+5:30,Vegetarian,1,8,3,50,Lunch,No
2023/04/17 8:53:23 PM GMT+5:30,Non-vegetarian,5,8.5,10,60,Dinner,No
2023/04/17 8:54:55 PM GMT+5:30,Non-vegetarian,5,9,7,60,Dinner,No
2023/04/17 8:57:25 PM GMT+5:30,Vegetarian + egg,10,6,7,60,Breakfast,Yes
2023/04/17 8:57:25 PM GMT+5:30,Non-vegetarian,15,9,2,20,Breakfast,Yes
2023/04/17 8:58:10 PM GMT+5:30,Non-vegetarian,4,5.5,5,100,Lunch,Yes
2023/04/17 9:00:22 PM GMT+5:30,Non-vegetarian,8,7,5,50,Breakfast,Yes
2023/04/17 9:00:48 PM GMT+5:30,Non-vegetarian,3,6.5,10,120,Breakfast,Yes
2023/04/17 9:03:24 PM GMT+5:30,Non-vegetarian,10,8,1,40,Breakfast,Yes
2023/04/17 9:03:58 PM GMT+5:30,Vegetarian,4,7,4,25,Dinner,Yes
2023/04/17 9:04:18 PM GMT+5:30,Non-vegetarian,0,8,7,50,Lunch,Yes
2023/04/17 9:04:37 PM GMT+5:30,Vegetarian,0,9,0,0,Breakfast,Yes
2023/04/17 9:05:02 PM GMT+5:30,Non-vegetarian,5,7,250,30,Breakfast,Yes
2023/04/17 9:05:25 PM GMT+5:30,Non-vegetarian,3,7,10,3000,Dinner,No
2023/04/17 9:08:55 PM GMT+5:30,Non-vegetarian,0,7,4,20,Breakfast,No
2023/04/17 9:09:01 PM GMT+5:30,Non-vegetarian,5,6,20,50,Breakfast,No
2023/04/17 9:09:14 PM GMT+5:30,Non-vegetarian,15,9,20,50,Breakfast,Yes
2023/04/17 9:11:28 PM GMT+5:30,Non-vegetarian,0,8,6,100,Dinner,No
2023/04/17 9:11:42 PM GMT+5:30,Vegetarian + egg,3,7,2,300,Breakfast,Yes
2023/04/17 9:12:03 PM GMT+5:30,Non-vegetarian,3,6,20,200,Breakfast,Yes
2023/04/17 9:13:15 PM GMT+5:30,Non-vegetarian,12,8,15,200,Lunch,No
2023/04/17 9:13:57 PM GMT+5:30,Non-vegetarian,5,8,1,300,Breakfast,Yes
2023/04/17 9:14:57 PM GMT+5:30,Non-vegetarian,5,9,30,200,Dinner,Yes
2023/04/17 9:17:42 PM GMT+5:30,Non-vegetarian,5,11,4,200,Breakfast,Yes
2023/04/17 9:19:05 PM GMT+5:30,Non-vegetarian,7,6,0,0,Lunch,Yes
2023/04/17 9:21:02 PM GMT+5:30,Non-vegetarian,2,7,5,50,Breakfast,Yes
2023/04/17 9:23:03 PM GMT+5:30,Non-vegetarian,5,8,8,100,Breakfast,Yes
2023/04/17 9:27:44 PM GMT+5:30,Vegetarian + egg,10,6,0,0,Lunch,No
2023/04/17 9:27:56 PM GMT+5:30,Vegetarian + egg,14,12,8,20,Breakfast,Yes
2023/04/17 9:33:12 PM GMT+5:30,Non-vegetarian,0,8,18,100,Lunch,No
2023/04/17 9:34:21 PM GMT+5:30,Non-vegetarian,5,7,1,0,Dinner,No
2023/04/17 9:38:25 PM GMT+5:30,Vegetarian + egg,10,8,20,100,Breakfast,No
2023/04/17 9:42:33 PM GMT+5:30,Non-vegetarian,0,7,5,50,Breakfast,Yes
2023/04/17 9:44:19 PM GMT+5:30,Non-vegetarian,6,4,10,300,Breakfast,Yes
2023/04/17 9:49:25 PM GMT+5:30,Non-vegetarian,4,6,10,60,Breakfast,Yes
2023/04/17 9:51:01 PM GMT+5:30,Vegetarian + egg,0,4,12,4500,Lunch,No
